Arrival Time,Total Time,Time in System,Rx HWQ Time,SWQ Time,Tx HWQ Time,Request Service Time,Preempt Count,Steal Count,Original Queue,Total Queue Length,Queue Checks,Requeue Wait Time
800,5560,5439,300,140,122,5000,0,0,None,None,0,0
16628,5692,5371,232,140,322,5000,0,0,None,None,0,0
17278,5502,5421,282,140,82,5000,0,0,None,None,0,0
21942,5498,5357,218,140,142,5000,0,0,None,None,0,0
22898,5502,5421,282,140,82,5000,0,0,None,None,0,0
22971,5689,5548,409,140,142,5000,0,0,None,None,0,0
36363,5557,5436,297,140,122,5000,0,0,None,None,0,0
39362,5518,5437,298,140,82,5000,0,0,None,None,0,0
48667,5473,5352,213,140,122,5000,0,0,None,None,0,0
53510,5490,5409,270,140,82,5000,0,0,None,None,0,0
55840,5520,5439,300,140,82,5000,0,0,None,None,0,0
67930,5490,5369,230,140,122,5000,0,0,None,None,0,0
83574,5506,5385,246,140,122,5000,0,0,None,None,0,0
89758,5482,5361,222,140,122,5000,0,0,None,None,0,0
99940,5560,5439,300,140,122,5000,0,0,None,None,0,0
105488,5572,5451,312,140,122,5000,0,0,None,None,0,0
108105,5515,5434,295,140,82,5000,0,0,None,None,0,0
121541,5539,5418,279,140,122,5000,0,0,None,None,0,0
140840,5500,5379,240,140,122,5000,0,0,None,None,0,0
143254,5446,5365,226,140,82,5000,0,0,None,None,0,0
156196,5464,5343,204,140,122,5000,0,0,None,None,0,0
166345,5475,5354,215,140,122,5000,0,0,None,None,0,0
166669,5511,5430,291,140,82,5000,0,0,None,None,0,0
167064,5576,5435,296,140,142,5000,0,0,None,None,0,0
169994,5506,5405,266,140,102,5000,0,0,None,None,0,0
170276,5484,5423,284,140,62,5000,0,0,None,None,0,0
170717,5503,5382,243,140,122,5000,0,0,None,None,0,0
171066,5514,5433,294,140,82,5000,0,0,None,None,0,0
171426,5514,5373,234,140,142,5000,0,0,None,None,0,0
172226,5474,5393,254,140,82,5000,0,0,None,None,0,0
173974,5486,5405,266,140,82,5000,0,0,None,None,0,0
175001,5519,5378,239,140,142,5000,0,0,None,None,0,0
178249,5531,5390,251,140,142,5000,0,0,None,None,0,0
178446,5594,5493,354,140,102,5000,0,0,None,None,0,0
181506,5494,5353,214,140,142,5000,0,0,None,None,0,0
186034,5426,5345,206,140,82,5000,0,0,None,None,0,0
188738,5482,5401,262,140,82,5000,0,0,None,None,0,0
208451,5529,5408,269,140,122,5000,0,0,None,None,0,0
221593,5547,5426,287,140,122,5000,0,0,None,None,0,0
222733,5467,5386,247,140,82,5000,0,0,None,None,0,0
229970,5490,5369,230,140,122,5000,0,0,None,None,0,0
235958,5462,5341,202,140,122,5000,0,0,None,None,0,0
247312,5468,5347,208,140,122,5000,0,0,None,None,0,0
260449,5491,5370,231,140,122,5000,0,0,None,None,0,0
272504,5496,5375,236,140,122,5000,0,0,None,None,0,0
273315,5445,5364,225,140,82,5000,0,0,None,None,0,0
274285,5535,5394,255,140,142,5000,0,0,None,None,0,0
281892,5488,5367,228,140,122,5000,0,0,None,None,0,0
285194,5446,5365,226,140,82,5000,0,0,None,None,0,0
287517,5483,5402,263,140,82,5000,0,0,None,None,0,0
289533,5527,5386,247,140,142,5000,0,0,None,None,0,0
295773,5547,5426,287,140,122,5000,0,0,None,None,0,0
299835,5445,5364,225,140,82,5000,0,0,None,None,0,0
313220,5520,5399,260,140,122,5000,0,0,None,None,0,0
327482,5518,5397,258,140,122,5000,0,0,None,None,0,0
346967,5493,5372,233,140,122,5000,0,0,None,None,0,0
355150,5470,5349,210,140,122,5000,0,0,None,None,0,0
357986,5494,5413,274,140,82,5000,0,0,None,None,0,0
358713,5527,5386,247,140,142,5000,0,0,None,None,0,0
362525,5575,5434,295,140,142,5000,0,0,None,None,0,0
371170,5490,5369,230,140,122,5000,0,0,None,None,0,0
374719,5501,5420,281,140,82,5000,0,0,None,None,0,0
379661,5519,5438,299,140,82,5000,0,0,None,None,0,0
382624,5716,5435,296,140,282,5000,0,0,None,None,0,0
386062,5438,5357,218,140,82,5000,0,0,None,None,0,0
387887,5573,5432,293,140,142,5000,0,0,None,None,0,0
389333,5487,5346,207,140,142,5000,0,0,None,None,0,0
394883,5497,5376,237,140,122,5000,0,0,None,None,0,0
398203,5437,5356,217,140,82,5000,0,0,None,None,0,0
402560,5440,5359,220,140,82,5000,0,0,None,None,0,0
406313,5447,5366,227,140,82,5000,0,0,None,None,0,0
425738,5482,5361,222,140,122,5000,0,0,None,None,0,0
433937,5543,5422,283,140,122,5000,0,0,None,None,0,0
440472,5468,5347,208,140,122,5000,0,0,None,None,0,0
444418,5482,5401,262,140,82,5000,0,0,None,None,0,0
446819,5441,5360,221,140,82,5000,0,0,None,None,0,0
447165,5555,5414,275,140,142,5000,0,0,None,None,0,0
454844,5536,5415,276,140,122,5000,0,0,None,None,0,0
455639,5501,5420,281,140,82,5000,0,0,None,None,0,0
455966,5634,5393,254,140,242,5000,0,0,None,None,0,0
459201,5459,5358,219,140,102,5000,0,0,None,None,0,0
461160,5560,5419,280,140,142,5000,0,0,None,None,0,0
468098,5482,5361,222,140,122,5000,0,0,None,None,0,0
469923,5517,5436,297,140,82,5000,0,0,None,None,0,0
488970,5530,5409,270,140,122,5000,0,0,None,None,0,0
495425,5535,5414,275,140,122,5000,0,0,None,None,0,0
501808,5512,5391,252,140,122,5000,0,0,None,None,0,0
508938,5542,5421,282,140,122,5000,0,0,None,None,0,0
516166,5474,5353,214,140,122,5000,0,0,None,None,0,0
521869,5531,5410,271,140,122,5000,0,0,None,None,0,0
540608,5552,5431,292,140,122,5000,0,0,None,None,0,0
545205,5515,5434,295,140,82,5000,0,0,None,None,0,0
552082,5498,5377,238,140,122,5000,0,0,None,None,0,0
562485,5555,5434,295,140,122,5000,0,0,None,None,0,0
567092,5508,5427,288,140,82,5000,0,0,None,None,0,0
573896,5464,5343,204,140,122,5000,0,0,None,None,0,0
583598,5522,5401,262,140,122,5000,0,0,None,None,0,0
587364,5516,5435,296,140,82,5000,0,0,None,None,0,0
