Thread ID,Type,Busy Time,Task Time,Network Time,Preempt Time
0,<class 'sim_thread.WorkerThread'>,496981,483121,0,0
1,<class 'sim_thread.WorkerThread'>,262780,245000,0,0
2,<class 'sim_thread.WorkerThread'>,112120,90000,0,0
3,<class 'sim_thread.WorkerThread'>,57960,35000,0,0
4,<class 'sim_thread.WorkerThread'>,33800,10000,0,0
5,<class 'sim_thread.WorkerThread'>,28940,5000,0,0
6,<class 'sim_thread.WorkerThread'>,29080,5000,0,0
7,<class 'sim_thread.WorkerThread'>,29220,5000,0,0
8,<class 'sim_thread.WorkerThread'>,24640,0,0,0
9,<class 'sim_thread.WorkerThread'>,24640,0,0,0
10,<class 'sim_thread.WorkerThread'>,24640,0,0,0
11,<class 'sim_thread.WorkerThread'>,24640,0,0,0
12,<class 'sim_thread.WorkerThread'>,24640,0,0,0
13,<class 'sim_thread.WorkerThread'>,24640,0,0,0
14,<class 'sim_thread.WorkerThread'>,24640,0,0,0
15,<class 'sim_thread.WorkerThread'>,24640,0,0,0
