Arrival Time,Total Time,Time in System,Rx HWQ Time,SWQ Time,Tx HWQ Time,Request Service Time,Preempt Count,Steal Count,Original Queue,Total Queue Length,Queue Checks,Requeue Wait Time
3024,5536,5415,276,140,122,5000,0,0,None,None,0,0
4412,5508,5427,288,140,82,5000,0,0,None,None,0,0
5454,5526,5385,246,140,142,5000,0,0,None,None,0,0
17863,5477,5356,217,140,122,5000,0,0,None,None,0,0
19882,5518,5437,298,140,82,5000,0,0,None,None,0,0
20908,5552,5411,272,140,142,5000,0,0,None,None,0,0
22440,5480,5379,240,140,102,5000,0,0,None,None,0,0
24631,5449,5348,209,140,102,5000,0,0,None,None,0,0
25918,5522,5421,282,140,102,5000,0,0,None,None,0,0
26868,5532,5431,292,140,102,5000,0,0,None,None,0,0
33015,5645,5424,285,140,222,5000,0,0,None,None,0,0
37789,5431,5350,211,140,82,5000,0,0,None,None,0,0
38206,5574,5433,294,140,142,5000,0,0,None,None,0,0
38508,5632,5491,352,140,142,5000,0,0,None,None,0,0
40563,5537,5436,297,140,102,5000,0,0,None,None,0,0
42466,5494,5433,294,140,62,5000,0,0,None,None,0,0
45448,5572,5431,292,140,142,5000,0,0,None,None,0,0
55433,5547,5426,287,140,122,5000,0,0,None,None,0,0
56020,5520,5439,300,140,82,5000,0,0,None,None,0,0
56211,5689,5548,409,140,142,5000,0,0,None,None,0,0
60901,5559,5418,279,140,142,5000,0,0,None,None,0,0
64318,5502,5421,282,140,82,5000,0,0,None,None,0,0
64449,5731,5590,451,140,142,5000,0,0,None,None,0,0
67265,5575,5434,295,140,142,5000,0,0,None,None,0,0
68925,5475,5374,235,140,102,5000,0,0,None,None,0,0
71405,5555,5414,275,140,142,5000,0,0,None,None,0,0
79999,5521,5400,261,140,122,5000,0,0,None,None,0,0
83585,5495,5414,275,140,82,5000,0,0,None,None,0,0
84895,5545,5404,265,140,142,5000,0,0,None,None,0,0
85511,5589,5448,309,140,142,5000,0,0,None,None,0,0
86843,5517,5416,277,140,102,5000,0,0,None,None,0,0
90370,5550,5409,270,140,142,5000,0,0,None,None,0,0
95356,5424,5343,204,140,82,5000,0,0,None,None,0,0
101652,5488,5367,228,140,122,5000,0,0,None,None,0,0
110878,5522,5401,262,140,122,5000,0,0,None,None,0,0
118338,5522,5401,262,140,122,5000,0,0,None,None,0,0
119491,5429,5348,209,140,82,5000,0,0,None,None,0,0
126715,5465,5344,205,140,122,5000,0,0,None,None,0,0
128213,5427,5346,207,140,82,5000,0,0,None,None,0,0
131475,5525,5384,245,140,142,5000,0,0,None,None,0,0
132358,5502,5361,222,140,142,5000,0,0,None,None,0,0
136119,5501,5360,221,140,142,5000,0,0,None,None,0,0
137226,5554,5413,274,140,142,5000,0,0,None,None,0,0
140018,5522,5381,242,140,142,5000,0,0,None,None,0,0
140062,5738,5637,498,140,102,5000,0,0,None,None,0,0
140669,5491,5430,291,140,62,5000,0,0,None,None,0,0
159325,5495,5374,235,140,122,5000,0,0,None,None,0,0
161109,5471,5390,251,140,82,5000,0,0,None,None,0,0
173028,5512,5391,252,140,122,5000,0,0,None,None,0,0
174676,5424,5343,204,140,82,5000,0,0,None,None,0,0
187329,5531,5410,271,140,122,5000,0,0,None,None,0,0
194577,5543,5422,283,140,122,5000,0,0,None,None,0,0
196942,5438,5357,218,140,82,5000,0,0,None,None,0,0
200954,5486,5405,266,140,82,5000,0,0,None,None,0,0
201857,5543,5402,263,140,142,5000,0,0,None,None,0,0
202322,5638,5497,358,140,142,5000,0,0,None,None,0,0
206950,5570,5429,290,140,142,5000,0,0,None,None,0,0
209185,5495,5414,275,140,82,5000,0,0,None,None,0,0
210523,5517,5376,237,140,142,5000,0,0,None,None,0,0
215191,5509,5428,289,140,82,5000,0,0,None,None,0,0
217229,5431,5350,211,140,82,5000,0,0,None,None,0,0
218850,5570,5429,290,140,142,5000,0,0,None,None,0,0
222660,5520,5439,300,140,82,5000,0,0,None,None,0,0
225651,5489,5408,269,140,82,5000,0,0,None,None,0,0
227396,5504,5363,224,140,142,5000,0,0,None,None,0,0
229410,5550,5409,270,140,142,5000,0,0,None,None,0,0
229623,5597,5496,357,140,102,5000,0,0,None,None,0,0
230031,5449,5388,249,140,62,5000,0,0,None,None,0,0
235513,5527,5406,267,140,122,5000,0,0,None,None,0,0
236709,5491,5410,271,140,82,5000,0,0,None,None,0,0
239219,5541,5400,261,140,142,5000,0,0,None,None,0,0
243076,5444,5363,224,140,82,5000,0,0,None,None,0,0
245310,5470,5389,250,140,82,5000,0,0,None,None,0,0
245714,5626,5385,246,140,242,5000,0,0,None,None,0,0
250926,5574,5393,254,140,182,5000,0,0,None,None,0,0
256065,5595,5414,275,140,182,5000,0,0,None,None,0,0
257084,5436,5355,216,140,82,5000,0,0,None,None,0,0
257818,5662,5421,282,140,242,5000,0,0,None,None,0,0
258181,5659,5358,219,140,302,5000,0,0,None,None,0,0
259450,5450,5389,250,140,62,5000,0,0,None,None,0,0
261236,5524,5403,264,140,122,5000,0,0,None,None,0,0
263101,5419,5358,219,140,62,5000,0,0,None,None,0,0
263371,5509,5448,309,140,62,5000,0,0,None,None,0,0
267734,5506,5365,226,140,142,5000,0,0,None,None,0,0
270671,5429,5348,209,140,82,5000,0,0,None,None,0,0
274918,5542,5361,222,140,182,5000,0,0,None,None,0,0
280079,5441,5360,221,140,82,5000,0,0,None,None,0,0
280657,5523,5342,203,140,182,5000,0,0,None,None,0,0
282474,5566,5425,286,140,142,5000,0,0,None,None,0,0
283070,5530,5429,290,140,102,5000,0,0,None,None,0,0
285747,5513,5412,273,140,102,5000,0,0,None,None,0,0
286562,5458,5357,218,140,102,5000,0,0,None,None,0,0
290691,5489,5348,209,140,142,5000,0,0,None,None,0,0
293077,5463,5382,243,140,82,5000,0,0,None,None,0,0
298048,5452,5371,232,140,82,5000,0,0,None,None,0,0
302328,5432,5351,212,140,82,5000,0,0,None,None,0,0
304162,5458,5377,238,140,82,5000,0,0,None,None,0,0
305290,5490,5349,210,140,142,5000,0,0,None,None,0,0
308271,5569,5428,289,140,142,5000,0,0,None,None,0,0
315864,5536,5415,276,140,122,5000,0,0,None,None,0,0
317081,5479,5398,259,140,82,5000,0,0,None,None,0,0
320960,5560,5419,280,140,142,5000,0,0,None,None,0,0
322823,5457,5376,237,140,82,5000,0,0,None,None,0,0
327029,5511,5430,291,140,82,5000,0,0,None,None,0,0
340655,5545,5424,285,140,122,5000,0,0,None,None,0,0
341365,5495,5414,275,140,82,5000,0,0,None,None,0,0
345745,5575,5434,295,140,142,5000,0,0,None,None,0,0
346016,5664,5523,384,140,142,5000,0,0,None,None,0,0
347998,5542,5401,262,140,142,5000,0,0,None,None,0,0
354671,5529,5408,269,140,122,5000,0,0,None,None,0,0
354772,5788,5607,468,140,182,5000,0,0,None,None,0,0
359346,5574,5433,294,140,142,5000,0,0,None,None,0,0
360055,5625,5484,345,140,142,5000,0,0,None,None,0,0
364392,5548,5407,268,140,142,5000,0,0,None,None,0,0
365100,5500,5359,220,140,142,5000,0,0,None,None,0,0
374363,5497,5376,237,140,122,5000,0,0,None,None,0,0
375368,5452,5371,232,140,82,5000,0,0,None,None,0,0
376307,5573,5432,293,140,142,5000,0,0,None,None,0,0
377883,5457,5356,217,140,102,5000,0,0,None,None,0,0
