Arrival Time,Total Time,Time in System,Rx HWQ Time,SWQ Time,Tx HWQ Time,Request Service Time,Preempt Count,Steal Count,Original Queue,Total Queue Length,Queue Checks,Requeue Wait Time
8517,5543,5422,283,140,122,5000,0,0,None,None,0,0
10019,5501,5420,281,140,82,5000,0,0,None,None,0,0
24858,5522,5401,262,140,122,5000,0,0,None,None,0,0
33107,5533,5412,273,140,122,5000,0,0,None,None,0,0
34863,5437,5356,217,140,82,5000,0,0,None,None,0,0
38541,5519,5438,299,140,82,5000,0,0,None,None,0,0
51151,5469,5348,209,140,122,5000,0,0,None,None,0,0
51688,5492,5411,272,140,82,5000,0,0,None,None,0,0
61618,5522,5401,262,140,122,5000,0,0,None,None,0,0
67215,5485,5364,225,140,122,5000,0,0,None,None,0,0
79032,5528,5407,268,140,122,5000,0,0,None,None,0,0
79682,5438,5357,218,140,82,5000,0,0,None,None,0,0
91145,5635,5414,275,140,222,5000,0,0,None,None,0,0
96396,5644,5363,224,140,282,5000,0,0,None,None,0,0
99812,5488,5407,268,140,82,5000,0,0,None,None,0,0
101602,5558,5417,278,140,142,5000,0,0,None,None,0,0
119622,5498,5377,238,140,122,5000,0,0,None,None,0,0
125692,5488,5367,228,140,122,5000,0,0,None,None,0,0
137382,5558,5437,298,140,122,5000,0,0,None,None,0,0
138690,5510,5429,290,140,82,5000,0,0,None,None,0,0
147434,5526,5405,266,140,122,5000,0,0,None,None,0,0
156269,5551,5430,291,140,122,5000,0,0,None,None,0,0
171850,5530,5409,270,140,122,5000,0,0,None,None,0,0
193398,5642,5421,282,140,222,5000,0,0,None,None,0,0
198673,5427,5346,207,140,82,5000,0,0,None,None,0,0
205765,5495,5374,235,140,122,5000,0,0,None,None,0,0
217678,5542,5421,282,140,122,5000,0,0,None,None,0,0
221806,5474,5393,254,140,82,5000,0,0,None,None,0,0
237454,5486,5365,226,140,122,5000,0,0,None,None,0,0
255122,5478,5357,218,140,122,5000,0,0,None,None,0,0
259272,5488,5407,268,140,82,5000,0,0,None,None,0,0
260008,5512,5371,232,140,142,5000,0,0,None,None,0,0
266532,5548,5427,288,140,122,5000,0,0,None,None,0,0
275549,5491,5370,231,140,122,5000,0,0,None,None,0,0
286402,5498,5377,238,140,122,5000,0,0,None,None,0,0
307456,5504,5383,244,140,122,5000,0,0,None,None,0,0
319389,5531,5410,271,140,122,5000,0,0,None,None,0,0
321134,5446,5365,226,140,82,5000,0,0,None,None,0,0
325381,5459,5378,239,140,82,5000,0,0,None,None,0,0
330856,5544,5423,284,140,122,5000,0,0,None,None,0,0
349017,5543,5422,283,140,122,5000,0,0,None,None,0,0
361316,5504,5383,244,140,122,5000,0,0,None,None,0,0
