Thread ID,Type,Busy Time,Task Time,Network Time,Preempt Time
0,<class 'sim_thread.WorkerThread'>,462740,450000,0,0
1,<class 'sim_thread.WorkerThread'>,236940,220000,0,0
2,<class 'sim_thread.WorkerThread'>,79740,60000,0,0
3,<class 'sim_thread.WorkerThread'>,25580,5000,0,0
4,<class 'sim_thread.WorkerThread'>,20580,0,0,0
5,<class 'sim_thread.WorkerThread'>,20580,0,0,0
6,<class 'sim_thread.WorkerThread'>,20580,0,0,0
7,<class 'sim_thread.WorkerThread'>,20580,0,0,0
8,<class 'sim_thread.WorkerThread'>,20580,0,0,0
9,<class 'sim_thread.WorkerThread'>,20580,0,0,0
10,<class 'sim_thread.WorkerThread'>,20580,0,0,0
11,<class 'sim_thread.WorkerThread'>,20580,0,0,0
12,<class 'sim_thread.WorkerThread'>,20580,0,0,0
13,<class 'sim_thread.WorkerThread'>,20580,0,0,0
14,<class 'sim_thread.WorkerThread'>,20580,0,0,0
15,<class 'sim_thread.WorkerThread'>,20580,0,0,0
