Arrival Time,Total Time,Time in System,Rx HWQ Time,SWQ Time,Tx HWQ Time,Request Service Time,Preempt Count,Steal Count,Original Queue,Total Queue Length,Queue Checks,Requeue Wait Time
3370,5490,5369,230,140,122,5000,0,0,None,None,0,0
4092,5428,5347,208,140,82,5000,0,0,None,None,0,0
4134,5746,5605,466,140,142,5000,0,0,None,None,0,0
4620,5520,5419,280,140,102,5000,0,0,None,None,0,0
5675,5425,5364,225,140,62,5000,0,0,None,None,0,0
17149,5511,5390,251,140,122,5000,0,0,None,None,0,0
18744,5476,5395,256,140,82,5000,0,0,None,None,0,0
24074,5606,5485,346,140,122,5000,0,0,None,None,0,0
25295,5445,5364,225,140,82,5000,0,0,None,None,0,0
33114,5486,5365,226,140,122,5000,0,0,None,None,0,0
35069,5491,5410,271,140,82,5000,0,0,None,None,0,0
36393,5527,5386,247,140,142,5000,0,0,None,None,0,0
41527,5453,5372,233,140,82,5000,0,0,None,None,0,0
46277,5463,5382,243,140,82,5000,0,0,None,None,0,0
49148,5452,5371,232,140,82,5000,0,0,None,None,0,0
51623,5537,5456,317,140,82,5000,0,0,None,None,0,0
79336,5484,5363,224,140,122,5000,0,0,None,None,0,0
83173,5507,5426,287,140,82,5000,0,0,None,None,0,0
90989,5551,5430,291,140,122,5000,0,0,None,None,0,0
111192,5508,5387,248,140,122,5000,0,0,None,None,0,0
113504,5456,5375,236,140,82,5000,0,0,None,None,0,0
125581,5539,5418,279,140,122,5000,0,0,None,None,0,0
137541,5539,5418,279,140,122,5000,0,0,None,None,0,0
144187,5553,5432,293,140,122,5000,0,0,None,None,0,0
149132,5468,5387,248,140,82,5000,0,0,None,None,0,0
151513,5447,5366,227,140,82,5000,0,0,None,None,0,0
152211,5509,5368,229,140,142,5000,0,0,None,None,0,0
163831,5549,5428,289,140,122,5000,0,0,None,None,0,0
167346,5494,5413,274,140,82,5000,0,0,None,None,0,0
170325,5475,5394,255,140,82,5000,0,0,None,None,0,0
177497,5463,5342,203,140,122,5000,0,0,None,None,0,0
180814,5506,5425,286,140,82,5000,0,0,None,None,0,0
184039,5441,5360,221,140,82,5000,0,0,None,None,0,0
185951,5489,5348,209,140,142,5000,0,0,None,None,0,0
192705,5495,5374,235,140,122,5000,0,0,None,None,0,0
209316,5544,5423,284,140,122,5000,0,0,None,None,0,0
210392,5428,5347,208,140,82,5000,0,0,None,None,0,0
211092,5488,5347,208,140,142,5000,0,0,None,None,0,0
212709,5531,5430,291,140,102,5000,0,0,None,None,0,0
219299,5501,5380,241,140,122,5000,0,0,None,None,0,0
219315,5645,5564,425,140,82,5000,0,0,None,None,0,0
230404,5516,5395,256,140,122,5000,0,0,None,None,0,0
232165,5515,5434,295,140,82,5000,0,0,None,None,0,0
237835,5505,5384,245,140,122,5000,0,0,None,None,0,0
239074,5426,5345,206,140,82,5000,0,0,None,None,0,0
241680,5580,5439,300,140,142,5000,0,0,None,None,0,0
248323,5497,5376,237,140,122,5000,0,0,None,None,0,0
265022,5558,5437,298,140,122,5000,0,0,None,None,0,0
