Thread ID,Type,Busy Time,Task Time,Network Time,Preempt Time
0,<class 'sim_thread.WorkerThread'>,625901,608261,0,0
1,<class 'sim_thread.WorkerThread'>,504001,477961,0,0
2,<class 'sim_thread.WorkerThread'>,287981,255361,0,0
3,<class 'sim_thread.WorkerThread'>,192240,155000,0,0
4,<class 'sim_thread.WorkerThread'>,121720,80000,0,0
5,<class 'sim_thread.WorkerThread'>,79380,35000,0,0
6,<class 'sim_thread.WorkerThread'>,60360,15000,0,0
7,<class 'sim_thread.WorkerThread'>,50780,5000,0,0
8,<class 'sim_thread.WorkerThread'>,45920,0,0,0
9,<class 'sim_thread.WorkerThread'>,45920,0,0,0
10,<class 'sim_thread.WorkerThread'>,45920,0,0,0
11,<class 'sim_thread.WorkerThread'>,45920,0,0,0
12,<class 'sim_thread.WorkerThread'>,45920,0,0,0
13,<class 'sim_thread.WorkerThread'>,45920,0,0,0
14,<class 'sim_thread.WorkerThread'>,45920,0,0,0
15,<class 'sim_thread.WorkerThread'>,45920,0,0,0
